source,feed_url,headline,summary,url,published_date,topics
Nature,https://www.nature.com/subjects/medical-research.rss,Baicalein inhibits human neutrophil myeloperoxidase and protects mice from LPS-induced lung inflammation,,https://www.nature.com/articles/s41598-026-43806-z,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,"Impact of comorbid diseases and associated factors on tuberculosis treatment outcomes among tuberculosis patients in South West Oromia, Ethiopia: a retrospective cohort study",,https://www.nature.com/articles/s41598-026-44604-3,2026-03-21 00:00:00+00:00,Science
Nature,https://www.nature.com/subjects/medical-research.rss,AI-based detection of Certas Plus shunt valve settings in CT scans,,https://www.nature.com/articles/s41598-026-45388-2,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,"Autism spectrum disorder trios from consanguineous populations are enriched for rare homozygous variants, identifying 32 new candidate genes",,https://www.nature.com/articles/s41598-026-44288-9,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,Malnutrition and its multidimensional determinants in institutionalized older adults: a cross-sectional study from resource-limited nursing homes in China,,https://www.nature.com/articles/s41598-026-44248-3,2026-03-21 00:00:00+00:00,Science
Nature,https://www.nature.com/subjects/medical-research.rss,Urine microscopy can identify cholemic nephropathy as a distinct form of kidney dysfunction in patients with acute on chronic liver failure,,https://www.nature.com/articles/s41598-026-42552-6,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,Single-nucleus ATAC-seq analysis resolves chromatin and transcriptional features of fibrolamellar carcinoma,,https://www.nature.com/articles/s41598-026-44899-2,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,SHP2 improves ovarian morphology and steroidogenic function in a rat PCOS model by modulating IRE1α/XBP1/NLRP3-mediated granulosa cell pyroptosis,,https://www.nature.com/articles/s41598-026-43536-2,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,A predictive model for PICC-related thrombosis in sepsis patients using XGBoost algorithm,,https://www.nature.com/articles/s41598-026-44999-z,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,A digital mindfulness intervention improves sleep efficiency and heart rate variability in healthy adults,,https://www.nature.com/articles/s41598-026-44902-w,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,Reproducible magnetophosphene thresholds induced by transcranial alternating magnetic stimulation in humans: a replication study,,https://www.nature.com/articles/s41598-026-44440-5,2026-03-21 00:00:00+00:00,Science
Nature,https://www.nature.com/subjects/medical-research.rss,VR-guided deep breathing during needle procedures in children,,https://www.nature.com/articles/s41598-026-44390-y,2026-03-21 00:00:00+00:00,Other
Nature,https://www.nature.com/subjects/medical-research.rss,Atorvastatin reduces recurrent decompensation events in advanced cirrhosis in a randomized placebo-controlled trial,,https://www.nature.com/articles/s41598-026-41326-4,2026-03-21 00:00:00+00:00,Other
Phys.org,https://phys.org/rss-feed/,New model links carbon-13 spike to Great Oxidation Event 2.45 billion years ago,"Two University of Victoria (UVic) geologists have integrated field geology with statistical modeling to give scientists a new view of the chemical reactions happening on ocean floors billions of years ago. The revised picture shows that big changes in the carbon cycle were happening earlier than expected, and at the same time as ballooning atmospheric oxygen and global glaciation.",https://phys.org/news/2026-03-links-carbon-spike-great-oxidation.html,2026-03-20 23:40:01+00:00,Science
TechCrunch,https://techcrunch.com/feed/,"Elon Musk misled Twitter investors while trying to get out of acquisition, jury says","At the time, Musk had tweeted that Twitter had too many bots, which is why he was trying to renege on his commitment to buy the company.",https://techcrunch.com/2026/03/20/elon-musk-misled-twitter-investors-while-trying-to-get-out-of-acquisition-jury-says/,2026-03-20 23:29:17+00:00,Funding
Phys.org,https://phys.org/rss-feed/,Synthesis of amino acids from carbon reaches 97% efficiency with cell-free system,"The building blocks of proteins, amino acids, are essential for all living things. Twenty different amino acids build the thousands of proteins that carry out biological tasks. While some are made naturally in our bodies, others are absorbed through the food we eat.",https://phys.org/news/2026-03-synthesis-amino-acids-carbon-efficiency.html,2026-03-20 23:20:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,Opening a new window into superconductivity by reimagining a classic tool,"For more than a century, condensed matter physics has grappled with one of its greatest unsolved challenges: how to build superconductors that operate at room temperature and transmit electricity with no loss. Now, in a paper published in Nature, a team of Harvard physicists has reported new insights into why one promising superconductor has yielded mysteriously uneven results.",https://phys.org/news/2026-03-window-superconductivity-reimagining-classic-tool.html,2026-03-20 23:00:01+00:00,Science
C4ISRNET,https://www.c4isrnet.com/arc/outboundfeeds/rss/,US countered drone threat over ‘strategic’ installation in early hours of Operation Epic Fury: Guillot,"Forces used a Fly-Away Kit to counter the threat over a U.S. installation, according to the commander of U.S. Northern Command.",https://www.c4isrnet.com/news/your-military/2026/03/20/us-countered-drone-threat-over-strategic-installation-in-early-hours-of-operation-epic-fury-guillot/,2026-03-20 22:55:10+00:00,Defense
Phys.org,https://phys.org/rss-feed/,From free love to post-apocalyptic survival: A trend of redefining family has emerged,"Chosen families are evolving but remain a cherished—and vital—lifeline for many. Mention ""communal living"" and the image that may spring to mind is the free-love, back-to-the-earth hippy communes of the 1960s, complete with bandannas and fringed suede vests. But communal living is once again very much part of the zeitgeist—albeit with a very different look.",https://phys.org/news/2026-03-free-apocalyptic-survival-trend-redefining.html,2026-03-20 22:50:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,Designing better 2D electronics: Addressing anisotropic conductivity to cut contact resistance,"The high-performance semiconductor devices powering smartphone displays, AI computing, EV batteries and more are increasingly incorporating 2D materials to overcome silicon's scaling limits. To optimize these technologies, a University of Michigan Engineering team developed a precise mathematical framework that accounts for anisotropic—or unevenly spreading—conductivity and device geometry.",https://phys.org/news/2026-03-2d-electronics-anisotropic-contact-resistance.html,2026-03-20 22:40:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,Reconstructing food webs to reveal a dynamic Gulf of Maine,"When most people think about corals, they imagine a tropical reef with crystal blue water, teeming with colorful fish. But, in the depths of the cold, murky Gulf of Maine, deep-sea corals thrive, feasting on a steady supply of organic matter raining down from the surface ocean.",https://phys.org/news/2026-03-reconstructing-food-webs-reveal-dynamic.html,2026-03-20 22:20:02+00:00,Other
Phys.org,https://phys.org/rss-feed/,Why some regions are winning the fight against groundwater depletion,"For half the world's population, the water in their drinking glasses comes from below them. Groundwater also supplies 40% of global irrigation projects. Alarmingly, more than a third of the planet's aquifers, or groundwater basins, are dropping. Declining water tables leave entire regions vulnerable to drought, land subsidence or seawater intrusion while damaging ecosystems and reducing water access. Properly securing this resource is a matter of social, humanitarian and environmental security.",https://phys.org/news/2026-03-regions-groundwater-depletion.html,2026-03-20 22:00:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,"Climate variability poses a threat to cold blooded animals, research indicates","A new Murdoch University study has found that cold-blooded animals (ectotherms) are unable to adjust physiologically to daily temperature fluctuations, a limitation that could leave them increasingly vulnerable as climate change drives even greater temperature variability. Daily temperature variations are a common feature in natural environments, ranging from subtle to extreme depending on the geographic location, season, and local climate patterns.",https://phys.org/news/2026-03-climate-variability-poses-threat-cold.html,2026-03-20 21:50:03+00:00,Science
SpaceNews,https://spacenews.com/feed/,Officina Stellare wins $2 million contract for lasercom ground station in Spain,"MILAN – Officina Stellare, an Italian manufacturer of advanced opto-mechanical systems, has signed a 1.84 million euro ($2.0 million) contract with the Barcelona-based Institute of Photonic Sciences (ICFO), the company announced March 17. The contract covers the design and construction of an optical ground station for future laser and quantum-encrypted space-to-Earth communications. The infrastructure will [&#8230;] The post Officina Stellare wins $2 million contract for lasercom ground station in Spain appeared first on SpaceNews .",https://spacenews.com/officina-stellare-wins-2-million-contract-for-lasercom-ground-station-in-spain/,2026-03-20 21:49:39+00:00,Other
Phys.org,https://phys.org/rss-feed/,Moss-associated nitrogen fixation helps sustain plant growth in warming permafrost ecosystems,"Climate warming can increase plant growth in permafrost regions by lengthening the growing season, speeding up plant metabolic processes, and allowing deeper root penetration as permafrost thaws. However, the capacity for additional vegetation to offset the carbon released during permafrost thawing depends on nitrogen supply.",https://phys.org/news/2026-03-moss-nitrogen-fixation-sustain-growth.html,2026-03-20 21:40:01+00:00,Other
Phys.org,https://phys.org/rss-feed/,Chemo-optogenetic tool uses vitamin B₁₂ and green light to precisely regulate cell communication,"Researchers at The Hong Kong University of Science and Technology (HKUST) have developed CarGAP, a chemo-optogenetic tool that uses vitamin B₁₂ and green light to precisely control gap junctions, the microscopic channels enabling direct cell-to-cell communication. This innovation allows on-demand closing and opening of these intercellular bridges, providing unprecedented spatiotemporal control over vital molecules and electrical signals. Demonstrated in both mammalian cells and living fruit flies, CarGAP provides a powerful new way to study development, immunity, and neural activity, with far-reaching potential for understanding disease mechanisms and advancing regenerative medicine.",https://phys.org/news/2026-03-chemo-optogenetic-tool-vitamin-green.html,2026-03-20 21:20:01+00:00,Science
SpaceNews,https://spacenews.com/feed/,Rocket Lab launches eighth Synspective radar imaging satellite,Rocket Lab launched the latest in a series of satellites for Japanese radar imaging company Synspective on March 20. The post Rocket Lab launches eighth Synspective radar imaging satellite appeared first on SpaceNews .,https://spacenews.com/rocket-lab-launches-eighth-synspective-radar-imaging-satellite/,2026-03-20 21:15:03+00:00,"Space, MedTech"
Phys.org,https://phys.org/rss-feed/,DNA analysis reveals two Hirondellea amphipods range farther and deeper than known,"Two deep-sea amphipod species have been found to live in both hemispheres and share features, according to a new study that boosts our understanding of the biodiversity and evolutionary processes shaping deep-sea ecosystems. Dr. Paige Maroni and Professor Alan Jamieson, from The University of Western Australia's School of Biological Sciences, were co-authors of the study published in Marine Biology.",https://phys.org/news/2026-03-dna-analysis-reveals-hirondellea-amphipods.html,2026-03-20 21:00:03+00:00,Science
Phys.org,https://phys.org/rss-feed/,New paper outlines pathways to equitable flood adaptation,"While parts of New York and New Jersey were ""building back better"" after Superstorm Sandy, residents of flood-prone public housing in Rockaway, Queens, were left without heat or running water for years.",https://phys.org/news/2026-03-paper-outlines-pathways-equitable.html,2026-03-20 21:00:01+00:00,Science
TechCrunch,https://techcrunch.com/feed/,Microsoft rolls back some of its Copilot AI bloat on Windows,"The company is reducing Copilot entry points on Windows, starting with Photos, Widgets, Notepad, and other apps.",https://techcrunch.com/2026/03/20/microsoft-rolls-back-some-of-its-copilot-ai-bloat-on-windows/,2026-03-20 20:53:09+00:00,AI
SpaceNews,https://spacenews.com/feed/,Another GPS launch shifts from ULA to SpaceX as Vulcan investigation continues,"The change affects the GPS III SV-10 satellite, which had been slated to launch on ULA’s Vulcan Centaur rocket. The post Another GPS launch shifts from ULA to SpaceX as Vulcan investigation continues appeared first on SpaceNews .",https://spacenews.com/another-gps-launch-shifts-from-ula-to-spacex-as-vulcan-investigation-continues/,2026-03-20 20:42:24+00:00,Space
Phys.org,https://phys.org/rss-feed/,Impressionist sea slugs create their patterns by arranging colorful photonic crystals,"Nudibranchs are often referred to as the butterflies of the sea. Nudibranchs live worldwide, primarily in warm, shallow marine regions, and stand out for their flamboyant colors and diverse shapes. A team from the Max Planck Institute of Colloids and Interfaces in Potsdam and the University of Cambridge has now discovered how they create their colorful patterns. According to their findings, published in the Proceedings of the National Academy of Sciences, the color is produced by nanostructures, each of which creates a specific color impression.",https://phys.org/news/2026-03-impressionist-sea-slugs-patterns-photonic.html,2026-03-20 20:40:03+00:00,Science
Phys.org,https://phys.org/rss-feed/,"From whale falls to 4,000 meters deep: Two new species spotlight deep-sea life","Glittery sea worms and sea squirts fit for ""The Lord of the Rings"" universe might sound like pure fantasy, but they're very real creatures living in the deep sea. Some of these otherworldly ocean animals are even featured in the latest ""Top 10 New Marine Species"" list published by the World Register of Marine Species (WoRMS).",https://phys.org/news/2026-03-whale-falls-meters-deep-species.html,2026-03-20 20:30:01+00:00,Science
Defense News,https://www.defensenews.com/arc/outboundfeeds/rss/,UK approves US use of British bases to strike Iran missile sites targeting ships,"Starmer initially rejected a U.S. request to use British bases for strikes on Iran, saying he needed to be satisfied that any military action was legal.",https://www.defensenews.com/news/your-military/2026/03/20/uk-approves-us-use-of-british-bases-to-strike-iran-missile-sites-targeting-ships/,2026-03-20 20:14:36+00:00,Defense
Phys.org,https://phys.org/rss-feed/,A self-sufficient Mars garden? How cyanobacteria-based fertilizer could grow edible biomass,"A research team from the Center for Applied Space Technology and Microgravity (ZARM), the Department of Environmental Process Engineering (UVT) at the University of Bremen and the German Aerospace Center (DLR) has made significant progress toward a self-sufficient Mars mission: a fertilizer, which can be produced solely with Martian resources, has been successfully used to grow edible biomass.",https://phys.org/news/2026-03-sufficient-mars-garden-cyanobacteria-based.html,2026-03-20 20:10:01+00:00,Science
TechCrunch,https://techcrunch.com/feed/,"What happened at Nvidia GTC: NemoClaw, Robot Olaf, and a $1 trillion bet","CEO&#160;Jensen Huang took the stage at&#160;Nvidia&#8217;s GTC conference&#160;this week in his signature leather jacket to deliver a two-and-a-half-hour keynote, projecting&#160;$1 trillion&#160;in AI chip sales through 2027, declaring that every company needs an “OpenClaw strategy,” and closing with a rambling Olaf robot that had to get its mic cut. The message was hard to miss: Nvidia [&#8230;]",https://techcrunch.com/video/what-happened-at-nvidia-gtc-nemoclaw-robot-olaf-and-a-1-trillion-bet/,2026-03-20 20:02:35+00:00,Other
Phys.org,https://phys.org/rss-feed/,Researchers uncover gut-liver serotonin pathway that limits nanoparticle and viral delivery,"A new study has for the first time elucidated the gut-liver immune regulatory axis jointly maintained by intestinal commensal bacteria and the intestinal endocrine system, and uncovered the fundamental mechanism underlying the body's nonspecific clearance of drug delivery carriers. It provides a universal solution to the core problem plaguing the delivery field for decades, significantly improves the delivery efficiency and therapeutic effect of tumor-targeted therapy, mRNA therapy, gene editing and other treatments, and blazes a new trail for the clinical translation of biomedical delivery technologies.",https://phys.org/news/2026-03-uncover-gut-liver-serotonin-pathway.html,2026-03-20 20:00:01+00:00,"Science, Biotech"
Defense News,https://www.defensenews.com/arc/outboundfeeds/rss/,Terror groups under increased scrutiny in DNI’s annual threat report,"In remarks this week, Director of National Intelligence Tulsi Gabbard emphasized the threat of foreign terror groups with Islamist ideology.",https://www.defensenews.com/news/pentagon-congress/2026/03/20/terror-groups-under-increased-scrutiny-in-dnis-annual-threat-report/,2026-03-20 19:44:51+00:00,Other
Phys.org,https://phys.org/rss-feed/,"Compact terahertz imaging system brings real-time, non-invasive clinical diagnostics closer","Scientists at the University of Warwick and University of Exeter have developed a fully fiber-coupled terahertz (THz) imaging system that significantly improves the speed, resolution, and clinical practicality of terahertz imaging. The study, published in Nature Communications, demonstrates a high-throughput, compact platform that overcomes key barriers limiting current THz systems—bringing real-time, non-invasive tissue imaging closer to routine clinical use.",https://phys.org/news/2026-03-compact-terahertz-imaging-real-invasive.html,2026-03-20 19:40:03+00:00,"Science, MedTech"
Breaking Defense,https://breakingdefense.com/feed/,"Navy, Hadrian launch partnership, open facility to build submarine parts","Secretary of the Navy John Phelan said that the public-private arrangement is a “novel transaction” that ensures the service is investing in “outcomes, not promises.”",https://breakingdefense.com/2026/03/navy-hadrian-launch-public-private-partnership-open-facility-to-build-submarine-parts/,2026-03-20 19:39:41+00:00,Defense
Phys.org,https://phys.org/rss-feed/,ShadowCam search casts doubt on abundant lunar ice,"New observations by a team of US astronomers have cast fresh doubt on whether the lunar surface could host abundant water ice. Publishing their results in Science Advances, a team led by Shuai Li at the University of Hawaii at Manoa has shown that relatively pure ice (making up more than about 20–30% of the surface material) is likely absent from the moon's permanently shadowed regions.",https://phys.org/news/2026-03-shadowcam-abundant-lunar-ice.html,2026-03-20 19:20:03+00:00,Other
TechCrunch,https://techcrunch.com/feed/,"Amid legal turmoil, Kalshi is temporarily banned in Nevada",It's the latest escalation in a regulatory battle over the future of prediction markets.,https://techcrunch.com/2026/03/20/amidst-legal-turmoil-kalshi-is-temporarily-banned-in-nevada/,2026-03-20 19:15:55+00:00,Other
Phys.org,https://phys.org/rss-feed/,What 'Project Hail Mary' gets right—and wrong—about astrophysics,"""Project Hail Mary,"" the Ryan Gosling-led adaptation of the best-selling sci-fi novel from Andy Weir, is being praised for putting the science in science fiction. Although aliens, sun-draining microorganisms and galaxy-spanning spaceflight are all a part of the story of a scientist sent on a suicide mission to save Earth, the film and its source material are not afraid to delve into the kind of astrophysics that would make most people's heads spin.",https://phys.org/news/2026-03-hail-mary-wrong-astrophysics.html,2026-03-20 19:10:07+00:00,Science
TechCrunch,https://techcrunch.com/feed/,Pinterest CEO calls on governments to ban social media for users under 16,"Pinterest’s chief compares social media to tobacco and alcohol, saying children need similar protections.",https://techcrunch.com/2026/03/20/pinterest-ceo-calls-on-governments-to-ban-social-media-for-users-under-16/,2026-03-20 19:01:54+00:00,Other
Phys.org,https://phys.org/rss-feed/,"Microbes make microplastics more likely to form ice in clouds, research reveals","Tiny pieces of plastic, called microplastics, are showing up everywhere, even in the water in clouds, rain, and snow—and they may be affecting our weather and temperatures. A study published in Environmental Science & Technology and led by Hosein Foroutan, associate professor of civil and environmental engineering, found that microbes living on microplastics dramatically boost their ability to trigger ice formation in clouds.",https://phys.org/news/2026-03-microbes-microplastics-ice-clouds-reveals.html,2026-03-20 19:00:01+00:00,Science
Defense News,https://www.defensenews.com/arc/outboundfeeds/rss/,Two suspected Iranian spies reportedly arrested near UK submarine base,"Two suspected Iranian spies have been arrested after attempting to enter Britain’s nuclear submarine base in Scotland, the Sun newspaper reported.",https://www.defensenews.com/global/europe/2026/03/20/two-suspected-iranian-spies-reportedly-arrested-near-uk-submarine-base/,2026-03-20 18:51:42+00:00,Other
Phys.org,https://phys.org/rss-feed/,"Rivers and tidal currents keep 80% of microfibers from reaching oceans, study suggests","Every time we do a load of laundry, tiny fibers of polyester escape from our clothes and slip down the drain. These microfibers, so small they can be invisible to the naked eye, are among the most common forms of microplastic in the ocean. Yet, new research published in Journal of Geophysical Research: Oceans shows that most of them may not make it that far.",https://phys.org/news/2026-03-rivers-tidal-currents-microfibers-oceans.html,2026-03-20 18:40:01+00:00,Science
SpaceNews,https://spacenews.com/feed/,OHB Sweden wins €248 million contract to build EPS-Sterna constellation,OHB Sweden has won a record contract for Sweden’s space sector to build 20 satellites to boost Europe’s weather forecasting and climate monitoring capabilities. The post OHB Sweden wins €248 million contract to build EPS-Sterna constellation appeared first on SpaceNews .,https://spacenews.com/ohb-sweden-wins-e248-million-contract-to-build-eps-sterna-constellation/,2026-03-20 18:28:40+00:00,Space
TechCrunch,https://techcrunch.com/feed/,Why scientists can’t get a laugh,"Humor is hard to pull off in front of a cold audience, full stop.",https://techcrunch.com/2026/03/20/why-scientists-cant-get-a-laugh/,2026-03-20 17:39:06+00:00,Science
C4ISRNET,https://www.c4isrnet.com/arc/outboundfeeds/rss/,Ukraine deploys units to 5 Middle East countries to intercept drones,"Zelenskyy has said Kyiv wants money and tech in return for its help in the Middle East, adding that the U.S. was among the nations that sought Kyiv’s help.",https://www.c4isrnet.com/global/mideast-africa/2026/03/20/ukraine-deploys-units-to-5-middle-east-countries-to-intercept-drones/,2026-03-20 17:37:48+00:00,Other
TechCrunch,https://techcrunch.com/feed/,A French Navy officer accidentally leaked the location of an aircraft carrier by logging his run on Strava,"A French naval officer went on a run around the deck of the Charles de Gaulle aircraft carrier, inadvertently leaking the warship's location when he uploaded the workout to Strava.",https://techcrunch.com/2026/03/20/a-french-navy-officer-accidentally-leaked-the-location-of-an-aircraft-carrier-by-logging-his-run-on-strava/,2026-03-20 17:21:18+00:00,Defense
Breaking Defense,https://breakingdefense.com/feed/,Space Force shifts GPS III launch from ULA to SpaceX,The shift follows Vulcan&#8217;s February grounding under the National Security Space Launch program to resolve persistent problems with its solid rocket boosters.,https://breakingdefense.com/2026/03/space-force-shifts-gps-iii-launch-from-ula-to-spacex/,2026-03-20 17:05:00+00:00,Defense
TechCrunch,https://techcrunch.com/feed/,"WordPress.com now lets AI agents write and publish posts, and more",New AI agents on WordPress.com could lower barriers to publishing while increasing machine-generated content across the web.,https://techcrunch.com/2026/03/20/wordpress-com-now-lets-ai-agents-write-and-publish-posts-and-more/,2026-03-20 16:43:09+00:00,Other
Breaking Defense,https://breakingdefense.com/feed/,"Answering the demand signal to move faster, field sooner, iterate continuously","[Sponsored] As threats rapidly evolve, digital engineering, manufacturing capacity and robust supply chains are critical to meeting challenges.",https://breakingdefense.com/2026/03/answering-the-demand-signal-to-move-faster-field-sooner-iterate-continuously/,2026-03-20 16:31:42+00:00,Other
TechCrunch,https://techcrunch.com/feed/,Jeff Bezos’ Blue Origin enters the space data center game,"""Project Sunrise"" would include more than 50,000 satellites performing high-energy compute on orbit.",https://techcrunch.com/2026/03/20/jeff-bezos-blue-origin-enters-the-space-data-center-game/,2026-03-20 16:27:43+00:00,Space
TechCrunch,https://techcrunch.com/feed/,US accuses Iran’s government of operating hacktivist group that hacked Stryker,"The U.S. Justice Department said an Iranian security ministry operates the fake activist persona known as Handala, which claimed responsibility for the destructive hack targeting medical tech giant Stryker.",https://techcrunch.com/2026/03/20/u-s-accuses-irans-government-of-operating-hacktivist-group-that-hacked-stryker/,2026-03-20 16:18:57+00:00,Other
TechCrunch,https://techcrunch.com/feed/,"Trump’s AI framework targets state laws, shifts child safety burden to parents","Trump’s AI framework pushes federal preemption of state laws, emphasizes innovation, and shifts responsibility for child safety toward parents while laying out lighter-touch rules for tech companies.",https://techcrunch.com/2026/03/20/trumps-ai-framework-targets-state-laws-shifts-child-safety-burden-to-parents/,2026-03-20 16:14:04+00:00,Other
EU-Startups,https://www.eu-startups.com/feed/,Weekly funding round-up! All of the European startup funding rounds we tracked this week (Mar.16-20),"This article is visible for CLUB members only. If you are already a member but don’t see the content of this article, please login here. If you’re not a CLUB member yet, but you’d like to read members-only content like this one, have unrestricted access to the site and benefit from many additional perks, you [&#8230;] The post Weekly funding round-up! All of the European startup funding rounds we tracked this week (Mar.16-20) appeared first on EU-Startups .",https://www.eu-startups.com/2026/03/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-mar-16-20/,2026-03-20 16:05:40+00:00,"Startups, Funding"
TechCrunch,https://techcrunch.com/feed/,"AI startups are eating the venture industry and the returns, so far, are good",AI startups accounted for 41% of the $128 billion in venture dollars raised by companies on Carta last year — a record-high annual share.,https://techcrunch.com/2026/03/20/ai-startups-are-eating-the-venture-industry-and-the-returns-so-far-are-good/,2026-03-20 15:41:21+00:00,"Startups, Funding"
Breaking Defense,https://breakingdefense.com/feed/,Israel’s Elbit reveals military contract to put high-powered laser weapon on aircraft,"CEO Bezhalel Machlis revealed the 2025 contract during an investor meeting, while acknowledging the challenges of putting such precise tech in the sky.",https://breakingdefense.com/2026/03/israels-elbit-reveals-military-contract-to-put-high-powered-laser-weapon-on-aircraft/,2026-03-20 15:32:00+00:00,"Defense, Funding"
TechCrunch,https://techcrunch.com/feed/,Cyberattack on vehicle breathalyzer company leaves drivers stranded across the US,A cyberattack on a U.S. car breathalyzer company has left drivers across the United States reportedly stranded and unable to start their vehicles.,https://techcrunch.com/2026/03/20/cyberattack-on-vehicle-breathalyzer-company-leaves-drivers-stranded-across-the-us/,2026-03-20 15:01:39+00:00,Other
